"Cancer_type","Gene","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"Melanoma","CYT_Davoli",-0.520535593456515,0.297216220312756,-1.10306868089064,0.0619974939776095,0.0798821845449999,0.528415667930748,0.0952861415280084,0.25503053162126
"Melanoma","Cytotoxic-cells_Danaher",-0.480424801770956,0.276798366781257,-1.02293963164173,0.0620900280998148,0.0826259205844949,0.403270973654286,0.169801196143509,0.25503053162126
"Melanoma","ImmunoScore_Hao",-0.75077205211243,0.433678640897306,-1.60076656913543,0.09922246491057,0.083421201932188,0.508412492686139,0.106720211929585,0.25503053162126
"Melanoma","Bcell_Helmink",-0.74329570028104,0.451895199756332,-1.62899401658998,0.142402616027904,0.100002628332317,0.0848190630581347,0.358153064959887,0.263937635768554
"Melanoma","CCL5-CXCL9_Dangaj",-0.512377855468388,0.308094802561029,-1.11623257231198,0.0914768613752073,0.0963019114141438,0.506733773605925,0.107692498250904,0.263937635768554
"Melanoma","CYT_Rooney",-0.464620484575869,0.28545691019704,-1.02410574770015,0.0948647785484132,0.103601688806348,0.527129139784967,0.0960124555473467,0.263937635768554
"Melanoma","Inflammatory_Thompson",-0.525134094531382,0.315811527931072,-1.14411331517885,0.093845126116084,0.0963507736845726,0.505999512270824,0.108118335673957,0.263937635768554
"Melanoma","IRG_Yang",-0.873044147295035,0.533837483877434,-1.91934638929229,0.173258094702217,0.101962739862781,0.198291942272607,0.287268820209876,0.263937635768554
"Melanoma","Tcell-inflamed_Ayers",-0.566556038661447,0.336710481037289,-1.22649645471169,0.0933843773887962,0.0924485341678939,0.560900062769837,0.0774443110883596,0.263937635768554
"Melanoma","Teff-IFNG_Fehrenbacher",-0.456103200927624,0.270274469708638,-0.985831427497216,0.0736250256419682,0.0914965640970173,0.368374228096356,0.191074235592186,0.263937635768554
"Melanoma","IMPRES_Auslander",0.873188237690495,0.542923828167423,-0.190922911866266,1.93729938724726,0.10776794043216,0,0.60315089818072,0.268166735493979
"Melanoma","M1_Hwang",-0.701953513479835,0.444572495290025,-1.57329959276539,0.169392565805715,0.11434970763452,0.00863606659991512,0.387613368610078,0.271898193708748
"Melanoma","VIGex_Hernando-Calvo",-0.424542119565995,0.268384800731893,-0.950566662998465,0.101482423866475,0.113685840301574,0.331452992962229,0.21342200927631,0.271898193708748
"Melanoma","Co-Inhibition-Tcell_Rooney",-0.586019697042312,0.374667767325625,-1.32035502716857,0.148315633083946,0.117792931495073,0.576726846850205,0.0691567927235124,0.273996601521147
"Melanoma","CD8_Rooney",-0.40106413489615,0.279541578105298,-0.948955560164024,0.146827290371724,0.151366655890039,0.46268076026739,0.133741943166978,0.33742150375488
"Melanoma","TMEscoreA_plus",-0.433833753759658,0.302139165837183,-1.02601563711951,0.158348129600195,0.151038215810258,0.170334063708396,0.306036805961508,0.33742150375488
"Melanoma","Chemokine_Messina",-0.637117284790109,0.447994189043412,-1.51516976059842,0.240935191018206,0.154981188550282,0.496394040124671,0.137287304040624,0.338428309691432
"Melanoma","Teff_McDermott",-0.39693397065479,0.283428960650155,-0.952444525704713,0.158576584395133,0.161372394857718,0.399543216506212,0.172075876992018,0.345336924995516
"Melanoma","CD8_Tcells_Danaher",-0.329075535370688,0.244615278967958,-0.808512672216102,0.150361601474727,0.178535498996813,0.375210570188948,0.186913518996553,0.374574478287432
"Melanoma","Mast-cells_Bindea",-0.451734906556581,0.338745237592093,-1.11566337217155,0.212193559058384,0.182350221890169,0.0976257808254815,0.344238529257215,0.375220648889385
"Melanoma","TAM_Peng",-0.575219849621998,0.438516844361968,-1.43469707118561,0.284257371941615,0.189608057006491,0.442204061974381,0.146100867458769,0.382793624522538
"Melanoma","NK-cells_Rooney",-0.390713914769514,0.302104354534221,-0.982827569229306,0.201399739690278,0.195904627853647,0.575120520268526,0.0699841101522943,0.388181392228522
"Melanoma","Co-Inhibition-APC_Rooney",-0.362867419148608,0.283968699439593,-0.91943584278689,0.193701004489674,0.201304783935209,0,0.558762529853432,0.391629306928498
"Melanoma","TMEscoreB_plus",0.436607127727962,0.352946092667552,-0.255154502384576,1.1283687578405,0.216073607393505,0,0.929981082200486,0.40561185949307
"Melanoma","WNT_target",0.312584140175941,0.250830008601055,-0.179033642923999,0.804201923275881,0.212691295935137,0,0.899015933373778,0.40561185949307
"Melanoma","Co-Stimulation-APC_Rooney",-0.486906388883226,0.399297726491838,-1.26951555191595,0.295702774149502,0.222689805598352,0.372329187689133,0.188667794430222,0.410824296534892
"Melanoma","PDL1_Nishino",-0.314553214205736,0.270111487681649,-0.843962001872303,0.214855573460831,0.244208867981046,0.393799413115632,0.17558062294135,0.442887269050372
"Melanoma","Neutrophils_Rooney",-0.481983776012269,0.425506641225905,-1.31596146799765,0.351993915973111,0.257328012400422,0.19401804584832,0.289175193659798,0.458901622114085
"Melanoma","iDC_Bindea",-0.462900475562975,0.426043953041671,-1.29793127935572,0.372130328229773,0.277253979414852,0,0.490760153679592,0.486330750776872
"Melanoma","IPSOV_Shen",-1.17748349267867,1.10619334301747,-3.34558260493088,0.990615619573537,0.28712653542549,0.525318679783148,0.0970368046342565,0.495524827266572
"Melanoma","Co-Stimulation-Tcell_Rooney",-0.347007393918637,0.330097384015101,-0.993986377979122,0.299971590141848,0.293154190664009,0.481213862233507,0.122672888063501,0.497896800016651
"Melanoma","GPAGs",-0.402842870477556,0.401920059648209,-1.19059171205223,0.384905971097123,0.316200651021565,0,0.85983679631126,0.528647963426679
"Melanoma","IPS_Charoentong",-0.106499273275464,0.111209681140792,-0.3244662430436,0.111467696492672,0.338242352049735,0,0.49184131480227,0.556798948758795
"Other","NK-CD56-cells_Danaher",-0.15518301758288,0.269923450112601,-0.684223258386372,0.373857223220612,0.565348841717794,0,0.374965476611766,0.565348841717794
"Melanoma","Eosinophils_Bindea",-0.813005532389729,0.886210233447776,-2.5499456726782,0.923934607898746,0.358935280901177,0.556781225652615,0.0796483223166428,0.581910228127666
"Melanoma","MDSC_Peng",0.528132744928641,0.591169866028926,-0.630538901233422,1.6868043910907,0.371659676998963,0.393546501485259,0.17573493038743,0.593546051326702
"Melanoma","Base_excision_repair",-0.290613356872969,0.34203712636107,-0.960993805916242,0.379767092170304,0.395517245430017,0,0.72785084372646,0.60732612441954
"Melanoma","T-helper-cells_Bindea",-0.311594915601608,0.368130925693269,-1.03311827155581,0.409928440352591,0.397316156162316,0,0.468201757546262,0.60732612441954
"Melanoma","TGFB_Mariathasan",0.155855747802368,0.182599675382694,-0.202033039536417,0.513744535141153,0.393361066302856,0,0.837004677419512,0.60732612441954
"Melanoma","PTEN-MITF_Cabrita",-0.178360270608269,0.213874710114681,-0.597546999636989,0.240826458420451,0.404310593049125,0,0.977361901999688,0.608798766214751
"Melanoma","Tcell-exclusion_Arnon",-0.284756094584604,0.345370773620253,-0.961670372193036,0.392158183023829,0.409658982873477,0,0.715266308680981,0.608798766214751
"Melanoma","Tcell-exhaustion_Peng",-0.354488667571629,0.443861984956527,-1.22444217219288,0.515464837049624,0.424495616864906,0,0.778806140339125,0.622205904171848
"Melanoma","TFH_Bindea",-0.601001033646299,0.773778469900267,-2.11757896666333,0.915576899370735,0.437330222520494,0.611063321656588,0.0523229751373219,0.632355862293147
"Melanoma","IPRES_Hugo",0.465721811630201,0.612390563852431,-0.734541637992739,1.66598526125314,0.446956952001096,0,0.438122386852519,0.637658584854897
"Melanoma","DC_Danaher",-0.240738498102182,0.338317605409921,-0.903828820041461,0.422351823837096,0.476727721541119,0.568632214411496,0.0733582660787486,0.671182450064471
"Melanoma","CD8_Sade-Feldman ",-0.279745957405671,0.419747861458493,-1.10243664845202,0.542944733640683,0.505115908420654,0,0.680497877925583,0.688285683095997
"Melanoma","CellCycle_Reg",-0.234568751455899,0.354502497039009,-0.929380878081874,0.460243375170075,0.508173541725082,0,0.752114283505168,0.688285683095997
"Melanoma","Macrophages_Bindea",-0.230094405471851,0.346804313687214,-0.909818369981921,0.44962955903822,0.507029314710249,0.402571233838728,0.170228169906912,0.688285683095997
"Melanoma","EMT3",0.209717146287195,0.328896561682654,-0.434908269249862,0.854342561824252,0.523708956438616,0,0.504255691600062,0.69181306591274
"Melanoma","proliferation_Pabla",0.0865288256615582,0.134518490297265,-0.177122570575782,0.350180221898898,0.520062826174159,0,0.787533725133538,0.69181306591274
"Melanoma","SW480-cells_Bindea",0.226797032215311,0.394818491722104,-0.547032991990438,1.00062705642106,0.565674379024264,0,0.578742275427548,0.738136079946295
"Melanoma","DDR",0.237422059808299,0.444166849527458,-0.63312896839214,1.10797308800874,0.592972479827823,0,0.83356535955338,0.764434401705747
"Melanoma","DC_Bindea",-0.254675396379198,0.500725159947897,-1.23607867603013,0.726727883271739,0.61102341606208,0.630028532797624,0.0438171597421477,0.776728032974724
"Melanoma","EMT2",0.168849106207735,0.337652046881669,-0.492936744986566,0.830634957402036,0.617026942082725,0.458169648710445,0.136454746933656,0.776728032974724
"Melanoma","IMS_Cui",0.283819178535995,0.61073886021613,-0.913206991446663,1.48084534851865,0.642135953102279,0.726671340492776,0.011857470471499,0.791639978762648
"Melanoma","KDM5A_Wang",-0.323476673282384,0.699297432223203,-1.6940744549212,1.04712110835643,0.643669889274303,0.696672795402296,0.0195219287602836,0.791639978762648
"Melanoma","Homologous_recombination",0.134044127677437,0.340373391537783,-0.533075461032368,0.801163716387243,0.693717671446137,0,0.635733330311514,0.807296770038802
"Melanoma","Mast-cells_Danaher",-0.129692994990154,0.30898238697023,-0.735287345309023,0.475901355328715,0.67467367953763,0.391225708490738,0.193467657668755,0.807296770038802
"Melanoma","Neutrophils_Bindea",-0.123888451421574,0.323410904654576,-0.757762176752061,0.509985273908913,0.70166915526737,0,0.936923816086317,0.807296770038802
"Melanoma","NonResponse_Chen",0.108018901984069,0.263890898835862,-0.409197755582123,0.625235559550261,0.682296277990192,0,0.839762080196001,0.807296770038802
